run number,_network_type,discovery_type,_nodes,proportion_paranoid,stability-factor,step,count turtles,count turtles with standard? = true,count turtles with paranoid? = true,count turtles with p? = true,count turtles with notp? = true,count turtles with paranoid? = true and notp? = true,count turtles with standard? = true and notp? = true,count turtles with paranoid? = true and p? = true,count turtles with standard? = true and p? = true,sum betweenness-centrality_p of turtles,sum betweenness-centrality_notp of turtles,ranking of turtles with discover_p? = true,ranking of turtles with discover_notp? = true
1,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
4,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
5,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
9,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
6,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
8,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
11,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
2,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
7,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
10,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
12,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
3,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
13,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
15,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
17,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
16,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
14,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
19,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
18,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
21,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
22,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
20,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
23,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
24,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
26,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
29,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
25,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
27,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
28,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
30,total,contradictory_random,300,12,200,399,300,264,36,192,108,14,94,22,170,0,0,0,0
